Column1,nickname,text,score,like,dislike,time,watch_movie
1670,bjy4****,우한폐렴이 때문에 더 집중해서 봤습니다.우연치 않게 봤는데 어째 성지순례오게 됐네요.스토리 좋고 주드로가 연기를 너무 잘해서 보는 장면내내 화가 났어요.,8,1,0,2020-02-01 21:00,0
1671,solb****,,10,1,0,2020-02-01 20:49,0
1672,sue11(o119****),,10,1,0,2020-02-01 20:39,0
1673,swagerwager(brok****),,10,1,0,2020-02-01 18:36,0
1674,kloq****,,9,1,0,2020-02-01 11:55,0
1675,조수아(suah****),재밌게봤음,10,1,0,2020-02-01 10:28,0
1676,목포에사는사람입니다(kimo****),,10,1,0,2020-02-01 9:30,0
1677,mendo7777777(mend****),,10,1,0,2020-02-01 8:48,0
1678,보리맘(thdw****),스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-02-01 0:50,0
1679,ㅎㅎ(shel****),신종코로나 바이러스로인해 재평가 받고있는 작품,10,1,0,2020-02-01 0:15,0
1680,사랑감사축복의 MAGO(kimi****),,10,1,0,2020-01-31 23:38,0
1681,신념과 꿈(kor1****),흠.. 이런 영화를 이제서야 알게 되었을까?,10,1,0,2020-01-31 22:08,0
1682,헬로우비버(hell****),현재 재평가 받는 영화 전에도 재미있게 보았음..,10,1,0,2020-01-31 14:53,0
1683,dteecjhsdvxss(qkrx****),코로나를 예언했구나 ㄷㄷ,10,1,0,2020-01-31 13:19,0
1684,몰리85(paus****),친구가 추천해줘서 봤는덕 코로나바이러스 예언영화였네요 ㅎㄷㄷ,10,1,0,2020-01-31 11:37,0
1685,엘비스(elvi****),이건 영화가 아니라 우한폐렴 예언 다큐멘터리하루에 한명씩 환자가 늘어나고,10,1,0,2020-01-31 10:58,0
1686,kyon(kyon****),,10,1,0,2020-01-31 10:30,0
1687,파아랑(jadp****),"바이러스보다 더 무서운 것은, 패닉에 빠진 인간들. +호화 캐스팅의 만족스러움",8,1,0,2020-01-31 7:02,0
1688,atla****,추천해요. 유선에서 방송해 줘서 봤어요.,10,1,0,2020-01-30 22:44,0
1689,M0ood(308r****),,10,1,0,2020-01-30 21:28,0
1690,coms****,,10,1,0,2020-01-29 21:25,0
1691,류애(ryua****),,10,1,0,2020-01-29 21:21,0
1692,아침의빛(iste****),스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-01-29 15:36,0
1693,끼룩(jinj****),,10,1,0,2020-01-29 12:31,0
1694,이민경이(mkhc****),,10,1,0,2020-01-29 11:11,0
1695,테신(edit****),,10,1,0,2020-01-29 10:45,0
1696,voie****,,8,1,0,2020-01-29 8:56,0
1697,Brianna(cind****),,10,1,0,2020-01-29 7:55,0
1698,미남(akdr****),지금보니 소름...무섭네요,10,1,0,2020-01-29 4:12,0
1699,vdcdv(djpa****),재난영화의 교과서 같은 작품,10,1,0,2020-01-29 3:08,0
1700,dam(dami****),,10,1,0,2020-01-29 2:09,0
1701,노스탤지어(swal****),현실화 되가고 있는 지금의 모습에 와드박고 갑니다,10,1,0,2020-01-29 1:51,0
1702,Vshopping(vsho****),실제 시기와 맞물려 긴장감이 높네요,10,1,0,2020-01-29 1:33,0
1703,Junlennon(ha_h****),우리의 미래가 이렇지 않길 기원하며,10,1,0,2020-01-29 1:23,0
1704,쇼콜라코코루(gofo****),스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-01-29 0:53,0
1705,JHK(taki****),우한 코로나바이러스.,10,1,0,2020-01-29 0:44,0
1706,Lead2M(kait****),10년 후를 어찌 이렇게 기가막히게 예견했을까? 대박,10,1,0,2020-01-29 0:07,0
1707,박수란(worl****),미국은 이미 중국을 파악했음ㅋㅋㅋ근데 왜,10,1,0,2020-01-28 23:32,0
