Column1,nickname,text,score,like,dislike,time,watch_movie
44,HeroNedved(leey****),전시작전통제권... 조선족같은 외국인 반입금지...... 대통령의 멋진 행동.... 모자간의 가족애....... 정말 쓰레기정치인들 보며 빡치면서 그래도 재밌게 잘봤다.... 올 여름 최고!,10,379,256,2013-08-14 12:12,0
45,나무(ngel****),뻔한 재난 영화이긴 한데... 문제는 질이다.   너무 저 예산으로 만들어서 그런지 배우 대사도 뚜렷하게 안들림.   CG는 용가리보다 못한 수준... 정말 후접하게 대충 만든 영화.   잔인해서 여성분들은 보고 나...,1,246,125,2013-08-15 15:03,0
46,유씨집안(asdt****),역사가 영화화 되야하는데 영화가 역사화 됬네요.,10,126,9,2015-06-02 20:15,0
47,shjj****,장혁  너무 멋있어요,8,232,117,2013-08-14 13:35,0
48,kim8****,이건 영화가 아니다. 개연성이 아예 없다.,1,257,144,2013-08-14 17:28,0
49,파치리스(donf****),여기 평점 1점때린애들 얼른 감독한테 잘못했다고 빌어라...,10,138,31,2015-06-02 21:44,0
50,소접(dpwo****),2015년 관객을 타겟으로 잡은듯..,9,108,8,2015-06-04 11:36,0
51,아이슈타인조(qmcq****),아휴...알바들...진짜죽는다 ㅡㅡ,1,235,135,2013-08-15 13:57,0
52,삶은펭귄(0001****),보고왔는데 7점 영화정도가 딱 어울릴거같습니다 블록버스터는 무슨 알바들이 판을 칩니다 평점밸런스를 위해 1점,1,388,289,2013-08-14 14:48,0
53,조록매실(char****),성지순례왔습니다 메르스 박멸하게 해주세요,10,104,7,2015-06-01 8:58,0
54,choi****,볼때 재미없다고 생각했는데 현재 예언이 되버린 지금보면 극대의 공포를 느낄수 있다.,10,107,10,2015-06-02 21:59,0
55,오늘은보송하게가(hong****),이 감독 예언자네. 정부 대응 조치 엉망에 격리 조치도 부실ㅋㅋ...하...,10,101,5,2015-06-02 22:01,0
56,김선우(rude****),"내가 이걸 볼때 ""ㅋㅋ 감독 상상력하곤 ㅋㅋㅋ""이러면서 비웃으며 봤는데... 죄송합니다 감독님 ㅠㅠ 선견지명이 있으셨습니다..",10,102,6,2015-06-05 17:06,0
